agency.agencyEmail,agency.agencyId,agency.agencyName,agency.agencyPhone,agency.agencyTimezone,agency.agencyType,agency.agencyUrl,endStop,hasPaths,isValid,routeDepot,routeDepotList,routeId,routeLongName,routeShortName,routeType,skipCount,startStop
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,NABANNA,True,Y,,['OTHER'],6155,BARUIPUR - NABANNA,C49:UP,3,0,BARUIPUR
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SHAPOORJI,True,Y,TARATALA,['TARATALA'],61,PARNASREE - SHAPOORJI,AC4A:UP,3,0,PARNASREE
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SREERAMPUR  BUS STAND,True,Y,OTHER,['OTHER'],5955,KARUNAMOYEE-SREERAMPORE,D4:DN,3,0,KARUNAMOYEE (SALT LAKE)
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,AIRPORT (GATE NO.1),True,Y,,['OTHER'],5751,HOWRAH STATION - AIRPORT (GATE NO.1),NS1:UP,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,,['OTHER'],5748,NEWTOWN - HOWRAH STATION,NS14:DN,3,0,NEWTOWN
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,SHAPOORJI,True,Y,SLD,['SLD'],5319,BARUIPUR - SHAPOORJI,ST12:UP,3,0,BARUIPUR
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,BALLYGUNGE PHARI,True,Y,,['OTHER'],5717,JODHPUR PARK - BALLYGUNGE PHARI,104:UP,3,0,JODHPUR PARK
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,ST6 SALT LAKE STAND,True,Y,SLD,['SLD'],5323,KARUNAMOYEE STAND (TOLLYGUNGE) - ST6 SALT LAKE STAND,ST6:UP,3,0,KARUNAMOYEE STAND (TOLLYGUNGE)
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BARRACKPORE COURT,True,Y,,['OTHER'],6092,JAGULIA - BARACKPORE,D24:DN,3,0,JAGULI PETROL PUMP
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,AGARPARA STATION,True,Y,OTHER,['OTHER'],5859,HOWRAH STATION - AGARPARA STATION,230/1:DN,3,0,HOWRAH STATION
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,ESPLANADE (WBTC BUS STAND),True,Y,,['OTHER'],5935,BURDWAN - KOLKATA (BANGLASHREE EXPRESS),BE17:DN,3,0,BURDWAN (SBSTC DEPOT)
