isJunction,isValid,locationType,stopDesc,stopId,stopLat,stopLon,stopName
Y,Y,TERMINAL,,1,22.642036,88.431122,AIRPORT (GATE NO.1)
Y,Y,TERMINAL,,2,22.652987,88.438289,AIRPORT (GATE NO.3)
Y,Y,JUNCTION,,3,22.4897,88.395331,AJOY NAGAR
N,Y,STOP,,5,22.584474,88.214893,ALAMPUR
Y,Y,JUNCTION,,6,22.525084,88.330894,ALIPORE (LALBATI)
N,Y,STOP,,7,22.535232,88.333479,ALIPORE ZOO
Y,Y,JUNCTION,,8,22.56822,88.411353,SALT LAKE STADIUM / AMRI
Y,Y,TERMINAL,,9,22.368769,88.271799,AMTALA
N,Y,STOP,,10,22.660438,88.365172,ARIADAHA
N,Y,STOP,,11,22.563749,88.338575,BABUGHAT
Y,Y,JUNCTION,,13,22.483851,88.375483,BAGHAJATIN
N,Y,STOP,,15,22.45737,88.285382,BAGPOTA
Y,Y,JUNCTION,,16,22.610244,88.427993,BAGUIHATI
N,Y,STOP,,17,22.597213,88.421702,BAISHAKHI
Y,Y,JUNCTION,,19,22.484069,88.302248,BAKULTALA
N,Y,STOP,,20,22.563927,88.287377,BAKULTALA (HOWRAH)
N,Y,STOP,,21,22.573759,88.4623,BALAKA
N,Y,STOP,,22,22.652591,88.347309,BALLY GHAT
N,Y,STOP,,23,22.528176,88.365998,BALLYGUNGE PHARI
Y,Y,TERMINAL,,24,22.521169,88.369335,BALLYGUNGE STATION
N,Y,STOP,,25,22.474155,88.361256,BANSHDRONI
Y,Y,TERMINAL,,26,22.508057,88.515258,BANTALA (IT PARK)
N,Y,STOP,,27,22.63259,88.371084,BARANAGAR BAZAR
N,Y,STOP,,28,22.720041,88.486644,BARASAT BUS STAND
Y,Y,JUNCTION,,29,22.760908,88.370327,BARRACKPORE
Y,Y,TERMINAL,,30,22.352953,88.43594,BARUIPUR
Y,Y,TERMINAL,,31,22.572383,88.347925,BBD BAG (G.P.O.)
Y,Y,TERMINAL,,33,22.50212,88.318116,BEHALA (14)
N,Y,STOP,,34,22.507086,88.297184,BEHALA AIRPORT
Y,Y,TERMINAL,,35,22.486974,88.313127,BEHALA CHOWRASTHA
Y,Y,JUNCTION,,36,22.503954,88.318791,BEHALA THANA
Y,Y,JUNCTION,,37,22.57542,88.301818,BELEPOLE
N,Y,STOP,,38,22.605216,88.38398,BELGACHIA
Y,Y,JUNCTION,,39,22.561822,88.408357,BUILDING MORE (BELEGHATA)
N,Y,STOP,,40,22.631371,88.352137,BELUR MATH
N,Y,STOP,,41,22.579729,88.397761,BENGAL CHEMICAL
N,Y,STOP,,42,22.584851,88.404193,BIDHANNAGAR COLLEGE
Y,Y,TERMINAL,,43,22.590217,88.416898,BIKASH BHAVAN
N,Y,STOP,,44,22.663418,88.428821,BIRATI
N,Y,STOP,,45,22.595673,88.361675,BK PAL MORE
Y,Y,JUNCTION,,47,22.582116,88.349648,BARA BAZAR
Y,Y,JUNCTION,,50,22.590259,88.363751,CENTRAL AVENUE & BEADON STREET
N,Y,STOP,,51,22.500029,88.330829,CHANDITALA
Y,Y,TERMINAL,,52,22.517195,88.337717,CHETLA
Y,Y,JUNCTION,,53,22.623677,88.441014,CHINAR PARK
Y,Y,JUNCTION,,54,22.55809,88.411404,CHINGRIGHATA
Y,Y,JUNCTION,,55,22.618695,88.379238,CHIRIA MORE
N,Y,STOP,,56,22.545691,88.370596,CHITTARANJAN HOSPITAL
N,Y,STOP,,57,22.538145,88.306582,CIGARETTE KOL (ITC)
Y,Y,JUNCTION,,58,22.562877,88.396286,CIT MORE (BELEGHATA)
Y,Y,JUNCTION,,59,22.58807,88.409643,CITY CENTER 1
Y,Y,JUNCTION,,60,22.574786,88.433869,COLLEGE MORE (SECTOR V)
Y,Y,JUNCTION,,61,22.577005,88.364115,COLLEGE STREET & MG ROAD
N,Y,STOP,,62,22.550586,88.326849,DAHIGHAT
Y,Y,JUNCTION,,63,22.50553,88.250111,DAKGHAR
Y,Y,TERMINAL,,64,22.653522,88.362801,DAKSHINESWAR
N,Y,STOP,,65,22.562778,88.295896,DANESH SEIKH LANE
N,Y,STOP,,66,22.683974,88.295628,DANKUNI
Y,Y,JUNCTION,,67,22.517354,88.352351,DESHAPRIYA PARK
N,Y,STOP,,69,22.57328,88.181269,DHULAGORI (NIRMALA CINEMA HALL)
N,Y,STOP,,70,22.1934,88.189418,DIAMOND HARBOUR
Y,Y,TERMINAL,,71,22.453156,88.302409,DIAMOND PARK
Y,Y,TERMINAL,,72,22.619735,88.392692,DUMDUM RLY STN
Y,Y,TERMINAL,,73,22.652582,88.377394,DUNLOP
N,Y,STOP,,74,22.65507,88.421841,DURGA NAGAR
Y,Y,JUNCTION,,75,22.605533,88.469317,ECO PARK
Y,Y,JUNCTION,,76,22.584454,88.489509,ECOSPACE
Y,Y,TERMINAL,,77,22.492515,88.213284,EDEN CITY
Y,Y,JUNCTION,,78,22.533488,88.327246,EKBALPUR
N,Y,STOP,,79,22.552365,88.371567,ENTALLY
Y,Y,TERMINAL,,80,22.563521,88.350992,ESPLANADE (WBTC BUS STAND)
Y,Y,JUNCTION,,81,22.541737,88.347214,EXIDE
Y,Y,JUNCTION,,82,22.584028,88.415287,FD BLOCK (SALT LAKE)
N,Y,STOP,,83,22.584771,88.411875,FD PARK
Y,Y,JUNCTION,,84,22.583394,88.418806,FE BLOCK (SALT LAKE)
Y,Y,JUNCTION,,85,22.553383,88.343732,FORT WILLIAM
N,Y,STOP,,86,22.60692,88.369625,GALIFF STREET
Y,Y,JUNCTION,,88,22.585286,88.372307,GANGA RAM
Y,Y,TERMINAL,,89,22.46559,88.377349,GARIA
N,Y,STOP,,90,22.467374,88.403721,GARIA STATION
Y,Y,JUNCTION,,91,22.519574,88.365312,GARIAHAT
Y,Y,JUNCTION,,92,22.576628,88.413634,GD ISLAND (SALT LAKE)
Y,Y,TERMINAL,,93,22.592288,88.343932,GHASHBAGAN
Y,Y,JUNCTION,,94,22.586237,88.362662,GIRISH PARK
Y,Y,JUNCTION,,95,22.515578,88.366821,GOL PARK
Y,Y,TERMINAL,,96,22.490731,88.360677,GOLF GREEN
Y,Y,JUNCTION,,97,22.52396,88.337489,GOPAL NAGAR
Y,Y,JUNCTION,,98,22.62777,88.43351,HALDIRAM
Y,Y,TERMINAL,,99,22.479876,88.33776,HARIDEVPUR
N,Y,STOP,,100,22.594608,88.370934,HATIBAGAN
N,Y,STOP,,101,22.545221,88.5303,HATISALA
Y,Y,JUNCTION,,102,22.523627,88.346472,HAZRA
N,Y,STOP,,103,22.588971,88.368874,HEDUA
Y,Y,JUNCTION,,104,22.483831,88.392155,HILAND PARK
Y,Y,JUNCTION,,105,22.506769,88.335078,HINDUSTAN SWEETS
Y,Y,TERMINAL,,106,22.583097,88.334112,HOWRAH MAIDAN
Y,Y,TERMINAL,,107,22.585163,88.343958,HOWRAH STATION
N,Y,STOP,,108,22.592537,88.313009,ICHAPUR (JAL TANK)
Y,Y,JUNCTION,,110,22.49137,88.372425,JADAVPUR (SULEKHA)
Y,Y,JUNCTION,,111,22.502976,88.367774,JADAVPUR POLICE STATION
Y,Y,JUNCTION,,112,22.517404,88.298396,JINJIRA BAZAR
Y,Y,TERMINAL,,113,22.448748,88.299421,JOKA
N,Y,STOP,,115,22.548491,88.28771,KACHCHI SADAK
Y,Y,JUNCTION,,116,22.63446,88.43456,KAIKHALI
Y,Y,JUNCTION,,117,22.504152,88.400803,KALIKAPUR
N,Y,STOP,,118,22.449289,88.390868,KAMALGAZI
Y,Y,TERMINAL,,119,22.580254,88.390589,KANKURGACHI
Y,Y,JUNCTION,,121,22.485926,88.340259,KARUNAMOYEE (TOLLYGUNGE)
Y,Y,TERMINAL,,122,22.585472,88.422097,KARUNAMOYEE (SALT LAKE)
Y,Y,JUNCTION,,123,22.594102,88.375375,KHANNA
Y,Y,JUNCTION,,124,22.541299,88.326043,KIDDERPORE
N,Y,STOP,,125,22.463468,88.334498,KOBOR DANGA
Y,Y,TERMINAL,,126,22.601304,88.382081,KOLKATA STATION
N,Y,STOP,,127,22.606226,88.259332,KONA EXPRESSWAY CROSSING
Y,Y,TERMINAL,,128,22.481373,88.3463,KUNDGHAT
Y,Y,JUNCTION,,129,22.541069,88.358834,BECK BAGAN
N,Y,STOP,,130,22.581542,88.406446,LABONY
N,Y,STOP,,131,22.524435,88.352491,LANSDOWN & HAZRA
Y,Y,JUNCTION,,132,22.501912,88.357801,LORDS MORE
N,Y,STOP,,133,22.693022,88.463481,MADHYAMGRAM
Y,Y,JUNCTION,,134,22.516184,88.323255,MAJHERHAT
N,Y,STOP,,135,22.618,88.480375,MALANCHA HOUSING
Y,Y,JUNCTION,,136,22.546677,88.36146,MALLICK BAZAR
Y,Y,TERMINAL,,137,22.569733,88.317686,MANDIRTALA
Y,Y,JUNCTION,,138,22.585277,88.374721,MANIKTALA
Y,Y,JUNCTION,,139,22.578669,88.360709,MG ROAD & CENTRAL AVENUE
Y,Y,JUNCTION,,140,22.579689,88.356879,MG ROAD & CHITPUR
Y,Y,JUNCTION,,141,22.541259,88.355143,MINTO PARK
Y,Y,JUNCTION,,142,22.527106,88.325937,MOMINPUR
Y,Y,JUNCTION,,143,22.561822,88.367361,MOULALI
N,Y,STOP,,144,22.485754,88.284524,MUCHIPARA
Y,Y,JUNCTION,,145,22.492356,88.39679,MUKUNDAPUR
Y,Y,TERMINAL,,146,22.565793,88.315113,NABANNA (TOLL GATE)
N,Y,STOP,,147,22.622805,88.414278,NAGER BAZAR
N,Y,STOP,,149,22.470091,88.37014,NAKTALA
Y,Y,JUNCTION,,150,22.509009,88.332954,NEW ALIPORE (PETROL PUMP)
N,Y,STOP,,151,22.47249,88.39855,NEW GARIA
Y,Y,TERMINAL,,152,22.581839,88.453331,NEWTOWN
Y,Y,JUNCTION,,153,22.573062,88.421209,NICCO PARK
N,Y,STOP,,154,22.592339,88.356493,NIMTALA
N,Y,STOP,,155,22.550393,88.362906,NONAPUKUR
Y,Y,TERMINAL,,156,22.616012,88.379012,PAIKPARA
Y,Y,JUNCTION,,157,22.54308,88.366213,PARK CIRCUS 7 POINT CROSSING
Y,Y,JUNCTION,,158,22.555248,88.349959,PARK STREET
Y,Y,TERMINAL,,159,22.509227,88.306561,PARNASREE
Y,Y,TERMINAL,,160,22.471756,88.389688,PATULI
Y,Y,JUNCTION,,161,22.572249,88.389473,PHOOLBAGAN
N,Y,STOP,,162,22.591343,88.399762,PNB
N,Y,STOP,,163,22.555922,88.331666,PRINCEP GHAT
Y,Y,JUNCTION,,164,22.539851,88.336443,PTS
N,Y,STOP,,167,22.551731,88.273687,RAJABAGAN
Y,Y,TERMINAL,,168,22.576589,88.37353,RAJABAZAR
N,Y,STOP,,169,22.657542,88.309608,RAJCHANDRAPUR
N,Y,STOP,,171,22.543487,88.294694,RAMNAGAR
N,Y,STOP,,172,22.483137,88.35321,RANIKUTHI
Y,Y,JUNCTION,,173,22.516958,88.345871,RASHBEHARI
Y,Y,JUNCTION,,175,22.513427,88.401765,RUBY
N,Y,STOP,,177,22.613516,88.271563,SALAP
